Category,Name,Price,Colors,Image,Product Link
Men,Slim Jeans,$ 24.99,"Black, Pale denim blue",https://image.hm.com/assets/hm/d2/b6/d2b600f3bcfc2f061a1e7ec6353fa0e0bcd2f092.jpg,https://www2.hm.com/en_us/productpage.1024256001.html
Men,Loose Fit T-shirt,$ 9.99,"Light beige, Black, White, Dark beige, Pink, Yellow, Light beige, Light sage green, Dark gray, Navy blue, Dark gray",https://image.hm.com/assets/hm/41/1e/411efdccd947c448ce84be76c962d9749e0c5330.jpg,https://www2.hm.com/en_us/productpage.0608945111.html
Men,Slim-Fit Jacket,$ 79.99,"Black, Beige, Navy blue, Dark gray, Navy blue",https://image.hm.com/assets/hm/e3/60/e360fe69055e4e15d12b2029389f74c9f42d0f5a.jpg,https://www2.hm.com/en_us/productpage.1250484001.html
Men,Slim Fit Ribbed Tank Top,$ 9.99,"White, Black, Beige, Gray melange",https://image.hm.com/assets/hm/22/7d/227d721b6737ebcda03bd336e26fc5c4efacfa75.jpg,https://www2.hm.com/en_us/productpage.1227155001.html
Men,Loose Fit Printed T-shirt,$ 12.99,"Beige/stars, Black/New York, Black, Khaki green/New York, White/New York, Black/Soho LDN, White/stars, White/Los Angeles, White/Soho, Dark gray",https://image.hm.com/assets/hm/37/8d/378dbead9bfd8b18f044dd0dc1ad7b8d66cefc4a.jpg,https://www2.hm.com/en_us/productpage.1227157020.html
Men,Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Light beige, Sage green, Green/white striped, Beige/white striped, Navy blue, White, Black, Light brown",https://image.hm.com/assets/hm/1b/1f/1b1f97f6a9505e525d143a2ecd585c9157f18641.jpg,https://www2.hm.com/en_us/productpage.1256946001.html
Men,Super Baggy Jeans,$ 44.99,"Black, Blue-gray, Denim beige",https://image.hm.com/assets/hm/58/4e/584ee89ca533bbd50b0af80ad9856b5bdec4239b.jpg,https://www2.hm.com/en_us/productpage.1260177001.html
Men,Slim-Fit Cargo Pants,$ 39.99,"Black, White, Dark gray, Khaki green, Light beige",https://image.hm.com/assets/hm/79/2f/792fe16855b51a42a7d0cd22daaf3f864d9f0f60.jpg,https://www2.hm.com/en_us/productpage.1253393001.html
Men,Loose Fit Hoodie,$ 24.99,"Light beige, Black, Dark taupe, Navy blue, Light gray melange, Brown, Pink, Green, White, Light beige, Burgundy, Dark brown, Pistachio green, Forest green, Black",https://image.hm.com/assets/hm/db/ff/dbffa3571b9d73c6762519abda9ce3a75a30be0c.jpg,https://www2.hm.com/en_us/productpage.0970819060.html
Men,Slim Fit Ribbed Tank Top,$ 9.99,"White, Black, Beige, Gray melange",https://image.hm.com/assets/hm/22/7d/227d721b6737ebcda03bd336e26fc5c4efacfa75.jpg,https://www2.hm.com/en_us/productpage.1227155001.html
Men,Collins Super Baggy Jeans,$ 44.99,"Denim gray, Black, Denim blue",https://image.hm.com/assets/hm/f8/d8/f8d811a7a0fddc6c749bb2826e01599147280f67.jpg,https://www2.hm.com/en_us/productpage.1252606004.html
Men,Baggy Jeans,$ 44.99,"Black, Denim blue, Gray-blue, Pale denim blue, Denim beige, Gray, Light denim blue, Vintage black",https://image.hm.com/assets/hm/1f/19/1f195d8dad199e4c9bb2419289bcd1a730b1edc3.jpg,https://www2.hm.com/en_us/productpage.1235413002.html
Men,Fairfax Baggy Jeans,$ 44.99,"Black, Pale denim blue, Denim gray, Dark denim gray, Denim blue, Pale denim blue, Dark denim gray, Dark denim blue, Dark gray",https://image.hm.com/assets/hm/dc/98/dc987f075569a9e8afb546dd6288344c6cc7a614.jpg,https://www2.hm.com/en_us/productpage.1235448014.html
Men,Houston Loose Jeans,$ 39.99,"Light denim blue, Black, Dark denim blue, Denim blue-white, Dark denim blue, Dark denim blue, Pale denim blue, Denim gray, Denim gray, Dark denim gray",https://image.hm.com/assets/hm/f5/9b/f59b0eba8d8c8a3ae6fc6d02cb5e3efa0875dd31.jpg,https://www2.hm.com/en_us/productpage.0979945001.html
Men,Loose Fit T-shirt,$ 17.99,"White, Dark beige, Beige, Black, Black",https://image.hm.com/assets/hm/74/86/7486124b8e2b658631de97e32ba5d395b9da976b.jpg,https://www2.hm.com/en_us/productpage.1232194015.html
Men,Relaxed Fit Cargo Pants,$ 39.99,"Light beige, Black, Khaki green",https://image.hm.com/assets/hm/0c/67/0c67701d95185383612e415f512883a113a37b19.jpg,https://www2.hm.com/en_us/productpage.1228206003.html
Men,Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Cream, Dark beige, Navy blue",https://image.hm.com/assets/hm/71/f5/71f5678e27dfe5a6f8c68205ec2a99842345a633.jpg,https://www2.hm.com/en_us/productpage.1285783001.html
Men,5-pack Regular Fit T-shirts,$ 39.99,"Black, Light blue/gray/brown, White/beige/gray, White, Pink/light blue/brown, Cream/light gray/forest green",https://image.hm.com/assets/hm/c3/47/c347b61f215b45029c6ae267c1a65ab9dc950c39.jpg,https://www2.hm.com/en_us/productpage.1216851001.html
Men,Slim-Fit Jacket,$ 79.99,"Navy blue, Black, Beige, Dark gray, Navy blue",https://image.hm.com/assets/hm/50/34/503428b866d2a0e9240bdee53a0a33bbfad649e7.jpg,https://www2.hm.com/en_us/productpage.1250484004.html
Men,Slim-Fit Fine-Knit T-Shirt,$ 24.99,"Black, White, Sage green, Dark beige",https://image.hm.com/assets/hm/b8/51/b851667a8b80652885ac0fcd8a075531c1e3afdd.jpg,https://www2.hm.com/en_us/productpage.1251427002.html
Men,Skinny Fit Single-Breasted Jacket,$ 74.99,"Dark blue, Navy blue, Black, Dark gray",https://image.hm.com/assets/hm/3d/10/3d106503248abe68a48c5e4401629979bb9c6f77.jpg,https://www2.hm.com/en_us/productpage.0713995046.html
Men,Loose Cargo Jeans,$ 44.99,"Light denim blue, Black, Beige, Pale denim gray",https://image.hm.com/assets/hm/d5/88/d588e27733daad0081a03cb71f0c09366ee18eee.jpg,https://www2.hm.com/en_us/productpage.1263547002.html
Men,5-pack Socks,$ 17.99,"White, Black, Light gray melange",https://image.hm.com/assets/hm/81/37/81376c9bf5526645536affe9f5d008c3c8e24d9e.jpg,https://www2.hm.com/en_us/productpage.1188057001.html
Men,Loose Fit T-shirt,$ 17.99,"Black, White, Dark beige, Beige, Black",https://image.hm.com/assets/hm/77/bd/77bd9ef47352b39ddc0dff7b124463244661f879.jpg,https://www2.hm.com/en_us/productpage.1232194005.html
Men,Slim Fit Pima Cotton T-shirt,$ 17.99,"White, Black, Gray melange, Navy blue, Light gray melange, Beige, Dark khaki green",https://image.hm.com/assets/hm/35/f7/35f73f439f9414faa189d4de0e6506ad21ac7a36.jpg,https://www2.hm.com/en_us/productpage.1101074001.html
Men,Slim-Fit Sports Joggers with DryMove™,$ 39.99,"Black, Dark gray, Dark blue, Light gray melange",https://image.hm.com/assets/hm/b4/41/b441a5395a4a012662df6be2c9a83427df332549.jpg,https://www2.hm.com/en_us/productpage.1235999001.html
Men,Regular-Fit Lightweight Bomber Jacket,$ 39.99,"Black, Navy blue, Light beige, Dark khaki green",https://image.hm.com/assets/hm/8d/7e/8d7ed6665068196d6f91a8173ad9eb585fd7214e.jpg,https://www2.hm.com/en_us/productpage.1257561001.html
Men,Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Black, Sage green, Green/white striped, Beige/white striped, Navy blue, Light beige, White, Light brown",https://image.hm.com/assets/hm/8b/b4/8bb455cec07ff8d5a4831a8fac795525089e11fa.jpg,https://www2.hm.com/en_us/productpage.1256946003.html
Men,5-pack Short Boxer Briefs with Lycra®,$ 29.99,"Black, White, Light blue/navy blue, Navy blue, Gray melange, Dark red/black, Light blue/gray melange, Gray/black, Sage green/beige",https://image.hm.com/assets/hm/b3/cf/b3cf8e91f722d595713ade3813dac24666bce407.jpg,https://www2.hm.com/en_us/productpage.1070268001.html
